發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市信義區松智路 / 臺北市信義區松勤街,2020/1/10 下午 12:02:00,信義區,自用-小客車;普通重型-機車,1,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松勤街,2020/12/27 上午 11:35:00,信義區,計程車-小客車;普通重型-機車,1,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松勤街,2020/12/20 上午 06:48:00,信義區,普通重型-機車;普通重型-機車,2,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松勤街,2020/12/16 下午 03:46:00,信義區,租賃車-小客車;普通重型-機車,1,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松勤街,2020/11/24 下午 11:14:00,信義區,普通重型-機車;自用-小客車,1,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松勤街,2020/9/29 下午 09:43:00,信義區,自用-小客車;普通重型-機車,1,25.031975,121.565387
臺北市信義區松智路 / 臺北市信義區松壽路,2020/5/12 下午 09:28:00,信義區,普通重型-機車;民營客運-大客車,1,25.035834,121.565477
臺北市信義區松智路 / 臺北市信義區松壽路,2020/10/24 上午 04:28:00,信義區,自用-小客車;普通重型-機車,1,25.035866,121.565623
臺北市信義區松智路 / 臺北市信義區松壽路,2020/1/17 下午 04:01:00,信義區,民營公車-大客車;乘客-人,1,25.03587,121.565463
臺北市信義區松智路 / 臺北市信義區松壽路,2020/2/20 下午 07:51:00,信義區,普通重型-機車;普通重型-機車,1,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區松壽路,2020/4/25 上午 12:13:00,信義區,普通重型-機車;普通重型-機車,2,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區松壽路,2020/4/9 上午 10:40:00,信義區,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),1,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區松壽路,2020/3/26 上午 09:49:00,信義區,自用-小客車;普通重型-機車,1,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區松壽路,2020/12/26 下午 04:54:00,信義區,自用-小客車;其他人-人,1,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區松壽路,2020/9/20 下午 04:35:00,信義區,普通重型-機車;計程車-小客車;其他人-人,1,25.03605,121.565703
臺北市信義區松智路 / 臺北市信義區松智路,2020/8/17 上午 09:10:00,信義區,自用-小客車;普通重型-機車,1,25.030077,121.565374
臺北市信義區松智路 / 臺北市信義區松智路,2020/8/18 下午 05:25:00,信義區,自用-小客車;普通重型-機車,1,25.030079,121.56534
臺北市信義區松智路 / 臺北市信義區松智路,2020/12/8 上午 08:33:00,信義區,自用-小客車;普通重型-機車,1,25.03008,121.565357
臺北市信義區松智路 / 臺北市信義區松智路,2020/5/13 下午 03:30:00,信義區,計程車-小客車;普通重型-機車,1,25.037022,121.565501
臺北市信義區松智路 / 臺北市信義區松智路,2020/9/30 下午 06:20:00,信義區,自用-小客車;普通重型-機車;乘客-人,2,25.037032,121.565501
臺北市信義區松智路 / 臺北市信義區松智路,2020/8/31 下午 06:40:00,信義區,自用-小客車;普通重型-機車,1,25.037034,121.565515
臺北市信義區松智路 / 臺北市信義區松智路,2020/6/28 下午 06:43:00,信義區,自用-小客車;普通重型-機車;乘客-人,2,25.037891,121.565556
臺北市信義區松智路 / 臺北市信義區松智路,2020/9/22 下午 06:05:00,信義區,民營客運-大客車;乘客-人,1,25.037897,121.565536
臺北市信義區松智路 / 臺北市信義區松智路,2020/9/28 下午 07:42:00,信義區,普通重型-機車;自用-小客車,1,25.037901,121.565526
臺北市信義區松智路 / 臺北市信義區松智路,2020/10/15 下午 07:17:00,信義區,自用-小客車;普通重型-機車,1,25.037903,121.565545
臺北市信義區松智路 / 臺北市信義區無名巷,2020/1/4 下午 10:40:00,信義區,自用-小客車;普通重型-機車,1,25.035876,121.565462
臺北市信義區松智路 / 臺北市信義區信義路5段,2020/12/1 上午 08:08:00,信義區,計程車-小客車;普通重型-機車,1,25.032545,121.565389
臺北市信義區松智路 / 臺北市信義區信義路5段,2020/11/13 下午 01:58:00,信義區,普通重型-機車;自用-小客車,1,25.032654,121.565412
臺北市信義區松智路 / 臺北市信義區莊敬路,2020/2/20 下午 02:06:00,信義區,普通重型-機車;自用-小客車,1,25.02916,121.564924
臺北市信義區松智路 / 臺北市信義區莊敬路,2020/9/15 上午 09:50:00,信義區,租賃車-小客車;普通重型-機車,1,25.029169,121.564928
臺北市信義區松智路37號前0.0公尺,2020/7/28 上午 08:15:00,信義區,普通重型-機車,1,25.030218,121.565399
臺北市信義區松智路38號前0.0公尺,2020/7/25 上午 08:40:00,信義區,普通重型-機車;普通重型-機車,2,25.029922,121.565453
臺北市信義區松智路40號前0.0公尺,2020/4/20 下午 03:45:00,信義區,普通重型-機車,1,25.029508,121.565225
臺北市信義區松智路40號前0.0公尺,2020/5/9 上午 07:10:00,信義區,自用-小客車;普通重型-機車,1,25.029754,121.56528
臺北市信義區松智路9巷前0.0公尺,2020/11/12 上午 11:30:00,信義區,營業用-小貨車(含客、貨兩用);普通重型-機車,1,25.037878,121.566313
臺北市信義區松智路9巷前0.0公尺,2020/9/6 下午 06:43:00,信義區,計程車-小客車;普通重型-機車;乘客-人,2,25.037882,121.56642
臺北市信義區松智路9巷前0.0公尺口,2020/10/6 上午 08:25:00,信義區,普通重型-機車,1,25.037936,121.566451
臺北市信義區松智路前0.0公尺,2020/6/30 下午 12:02:00,信義區,自用-小客車;普通重型-機車;乘客-人,1,25.033333,121.565439
臺北市信義區松智路前0.0公尺,2020/9/15 下午 06:25:00,信義區,行人-人;普通重型-機車,2,25.035051,121.565483
臺北市信義區松智路前0.0公尺,2020/3/24 上午 08:05:00,信義區,普通重型-機車,1,25.036161,121.565446
臺北市信義區吳興街 / 臺北市信義區基隆路2段,2020/9/3 下午 06:27:00,信義區,普通重型-機車;電動自行車-慢車,1,25.028299,121.559099
臺北市信義區吳興街 / 臺北市信義區基隆路2段,2020/8/6 上午 08:32:00,信義區,普通重型-機車;普通重型-機車,2,25.02995,121.560092
臺北市信義區吳興街 / 臺北市信義區基隆路2段,2020/8/27 下午 12:51:00,信義區,普通重型-機車;普通重型-機車,1,25.030575,121.559536
臺北市信義區吳興街 / 臺北市信義區基隆路2段,2020/7/3 下午 02:44:00,信義區,計程車-小客車;普通重型-機車,1,25.031985,121.55901
臺北市信義區吳興街 / 臺北市信義區基隆路2段,2020/7/27 下午 07:30:00,信義區,普通重型-機車,1,25.032025,121.558886
臺北市信義區吳興街 / 臺北市信義區松仁路,2020/7/31 下午 05:00:00,信義區,自用-小客車;普通重型-機車,1,25.024475,121.56629
臺北市信義區吳興街 / 臺北市信義區松仁路,2020/7/4 下午 05:50:00,信義區,普通重型-機車;普通重型-機車;乘客-人,1,25.024764,121.56749
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/9/19 上午 11:30:00,信義區,其他車-其他車;普通輕型-機車;乘客-人,3,25.020767,121.569681
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/9/30 上午 08:39:00,信義區,自用-小客車;普通重型-機車,1,25.021186,121.569458
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/8/22 下午 09:51:00,信義區,普通重型-機車,1,25.02185,121.568881
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/6/10 下午 12:00:00,信義區,普通重型-機車;普通重型-機車;乘客-人,2,25.02185,121.568881
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/12/24 下午 06:10:00,信義區,腳踏自行車-慢車;普通重型-機車,1,25.022426,121.569223
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/11/28 下午 07:30:00,信義區,計程車-小客車;普通重型-機車;乘客-人,2,25.022426,121.569223
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/5/19 下午 07:00:00,信義區,行人-人;普通重型-機車,1,25.022426,121.569223
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/9/11 下午 12:57:00,信義區,計程車-小客車;普通重型-機車,1,25.022824,121.569508
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/12/14 下午 01:25:00,信義區,普通重型-機車;自用-小貨車(含客、貨兩用),1,25.023214,121.568801
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/4/20 下午 07:22:00,信義區,普通重型-機車;自用-小客車,1,25.023237,121.56971
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/12/30 下午 01:34:00,信義區,計程車-小客車;自用-小客車,1,25.023389,121.56138
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/7/26 下午 02:55:00,信義區,自用-小客車;普通重型-機車;普通重型-機車,1,25.023389,121.561382
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/11/18 下午 12:37:00,信義區,普通重型-機車;普通重型-機車,2,25.023394,121.561393
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/10/6 下午 03:24:00,信義區,普通重型-機車;普通重型-機車,2,25.023395,121.561375
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/11/13 上午 10:35:00,信義區,普通重型-機車;普通重型-機車,1,25.023726,121.569106
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/5/14 下午 11:18:00,信義區,普通重型-機車;普通重型-機車;乘客-人,3,25.02383,121.568535
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/5/29 上午 07:30:00,信義區,普通重型-機車;普通重型-機車;乘客-人,2,25.02392,121.561005
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/10/26 下午 02:10:00,信義區,自用-小客車;普通重型-機車;乘客-人,2,25.02397,121.5686
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/11/2 下午 02:10:00,信義區,普通重型-機車;普通重型-機車,2,25.023978,121.568693
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/8/29 上午 09:15:00,信義區,普通重型-機車;普通重型-機車;乘客-人,3,25.024383,121.563648
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/1/21 上午 08:20:00,信義區,普通重型-機車;普通重型-機車,2,25.024759,121.567465
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/4/7 上午 09:00:00,信義區,腳踏自行車-慢車;普通重型-機車,1,25.024817,121.563171
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/5/12 下午 10:10:00,信義區,普通重型-機車;普通重型-機車,1,25.025077,121.562948
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/3/6 下午 11:50:00,信義區,自用-小客車;行人-人,1,25.025309,121.563709
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/3/11 上午 07:09:00,信義區,腳踏自行車-慢車;腳踏自行車-慢車,1,25.025435,121.566708
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/7/29 上午 10:07:00,信義區,普通重型-機車;普通重型-機車;乘客-人,3,25.02544,121.566687
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/1/27 下午 03:33:00,信義區,腳踏自行車-慢車;普通重型-機車,1,25.02551,121.562528
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/8/6 上午 08:20:00,信義區,自用-小客車;行人-人,1,25.025574,121.566642
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/2/4 下午 12:36:00,信義區,自用-小客車;普通重型-機車;營業用-小貨車(含客、貨兩用),1,25.025799,121.566471
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/12/23 上午 08:57:00,信義區,自用-小客車;普通重型-機車,1,25.025915,121.560285
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/7/27 上午 08:21:00,信義區,自用-小客車;普通重型-機車,1,25.026038,121.561123
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/10/9 上午 02:39:00,信義區,普通重型-機車;普通重型-機車,1,25.026271,121.566115
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/3/17 上午 09:54:00,信義區,普通重型-機車;普通輕型-機車,1,25.026285,121.566095
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/4/11 下午 12:30:00,信義區,自用-小客車;腳踏自行車-慢車,1,25.026489,121.561625
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/11/11 上午 07:56:00,信義區,計程車-小客車;電動自行車-慢車,1,25.02649,121.561582
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/2/22 下午 08:34:00,信義區,租賃車-小客車;普通重型-機車,1,25.026494,121.561611
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/9/29 下午 07:11:00,信義區,遊覽車-大客車;普通重型-機車,1,25.026494,121.561611
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/9/11 上午 11:40:00,信義區,普通重型-機車;普通重型-機車,2,25.026502,121.565984
臺北市信義區吳興街 / 臺北市信義區吳興街,2020/8/5 上午 06:55:00,信義區,自用-小客車;行人-人,1,25.026522,121.564189
